Origin,ShiftDate,TimeStamp,Equipment,TruckFleet,FuelLevelLiters,LastRefuel,Shift,FuelLevel
SST,2024-03-12,2024-03-12T06:00:00.000000,T-210,CAT789C,2206.0,172800,N,68.9375
SST,2024-03-13,2024-03-13T06:00:00.000000,T-210,CAT789C,2393.0,86400,N,74.7812
SST,2024-03-13,2024-03-13T06:00:00.000000,T-210,CAT789C,2770.0,0,N,86.5625
SST,2024-03-14,2024-03-14T06:00:00.000000,T-210,CAT789C,2756.0,86400,N,86.125
SST,2024-03-16,2024-03-16T06:00:00.000000,T-210,CAT789C,2305.0,172800,N,72.0312
SURTIDOR-TRUCKSHOP,2024-03-17,2024-03-17T10:43:24.917000,T-210,CAT789C,2299.0,103404,D,71.8438
SURTIDOR-TRUCKSHOP,2024-03-18,2024-03-18T10:55:01.780000,T-210,CAT789C,1892.0,87096,D,59.125
SURTIDOR-TRUCKSHOP,2024-03-19,2024-03-19T17:50:20.267000,T-210,CAT789C,2262.0,111318,D,70.6875
SST,2024-03-20,2024-03-20T08:00:00.000000,T-210,CAT789C,2423.0,50979,D,75.7188
SURTIDOR-TRUCKSHOP,2024-03-21,2024-03-21T21:33:18.367000,T-210,CAT789C,1703.0,135198,N,53.2188
SST,2024-03-22,2024-03-22T07:00:00.000000,T-210,CAT789C,1000.0,34001,D,31.25
SST,2024-03-23,2024-03-23T07:00:00.000000,T-210,CAT789C,2683.0,86400,D,83.8438
SST,2024-03-24,2024-03-24T08:00:00.000000,T-210,CAT789C,2866.0,90000,D,89.5625
SURTIDOR-TRUCKSHOP,2024-03-25,2024-03-25T15:12:09.407000,T-210,CAT789C,2446.0,112329,D,76.4375
SST,2024-03-26,2024-03-26T08:00:00.000000,T-210,CAT789C,2420.0,60470,D,75.625
SST,2024-03-27,2024-03-27T19:00:00.000000,T-210,CAT789C,2125.0,126000,D,66.4062
SST,2024-03-28,2024-03-28T08:00:00.000000,T-210,CAT789C,2358.0,46800,D,73.6875
SST,2024-03-29,2024-03-29T19:00:00.000000,T-210,CAT789C,2270.0,126000,D,70.9375
SST,2024-03-30,2024-03-30T08:00:00.000000,T-210,CAT789C,2287.0,46800,D,71.4688
P068,2024-03-31,2024-03-31T08:00:00.000000,T-210,CAT789C,2728.0,86400,D,85.25
SST,2024-04-01,2024-04-01T06:00:00.000000,T-210,CAT789C,2886.0,79200,N,90.1875
SST,2024-04-02,2024-04-02T06:00:00.000000,T-210,CAT789C,2432.0,86400,N,76.0
SST,2024-04-04,2024-04-04T07:00:00.000000,T-210,CAT789C,2581.0,176400,D,80.6562
P068,2024-04-04,2024-04-04T19:00:00.000000,T-210,CAT789C,2060.0,43200,D,64.375
SST,2024-04-06,2024-04-06T07:00:00.000000,T-210,CAT789C,2386.0,129600,D,74.5625
SST,2024-04-07,2024-04-07T08:00:00.000000,T-210,CAT789C,2510.0,90000,D,78.4375
P068,2024-04-08,2024-04-08T08:00:00.000000,T-210,CAT789C,1348.0,86400,D,42.125
SST,2024-04-10,2024-04-10T07:00:00.000000,T-210,CAT789C,2348.0,169200,D,73.375
SST,2024-04-11,2024-04-11T07:00:00.000000,T-210,CAT789C,1800.0,86400,D,56.25
SST,2024-04-12,2024-04-12T07:00:00.000000,T-210,CAT789C,1922.0,86400,D,60.0625
SST,2024-04-13,2024-04-13T07:00:00.000000,T-210,CAT789C,2204.0,86400,D,68.875
SST,2024-04-14,2024-04-14T07:00:00.000000,T-210,CAT789C,2066.0,86400,D,64.5625
SST,2024-04-14,2024-04-14T08:00:00.000000,T-210,CAT789C,2242.0,3600,D,70.0625
SST,2024-04-15,2024-04-15T09:00:00.000000,T-210,CAT789C,2271.0,90000,D,70.9688
SST,2024-04-16,2024-04-16T08:00:00.000000,T-210,CAT789C,1905.0,82800,D,59.5312
SST,2024-04-16,2024-04-16T19:00:00.000000,T-210,CAT789C,1976.0,39600,D,61.75
SST,2024-04-17,2024-04-17T19:00:00.000000,T-210,CAT789C,2138.0,86400,D,66.8125
SST,2024-04-18,2024-04-18T19:00:00.000000,T-210,CAT789C,2215.0,86400,D,69.2188
SST,2024-04-21,2024-04-21T19:00:00.000000,T-210,CAT789C,2205.0,259200,D,68.9062
P068,2024-04-22,2024-04-22T19:00:00.000000,T-210,CAT789C,2599.0,86400,D,81.2188
P068,2024-04-23,2024-04-23T19:00:00.000000,T-210,CAT789C,2050.0,86400,D,64.0625
SST,2024-04-24,2024-04-24T19:00:00.000000,T-210,CAT789C,2455.0,86400,D,76.7188
SST,2024-04-25,2024-04-25T19:00:00.000000,T-210,CAT789C,2419.0,86400,D,75.5938
SST,2024-04-27,2024-04-27T19:00:00.000000,T-210,CAT789C,2455.0,172800,D,76.7188
SST,2024-04-28,2024-04-28T19:00:00.000000,T-210,CAT789C,2124.0,86400,D,66.375
SST,2024-04-29,2024-04-29T19:00:00.000000,T-210,CAT789C,2257.0,86400,D,70.5312
SST,2024-04-30,2024-04-30T19:00:00.000000,T-210,CAT789C,2463.0,86400,D,76.9688
SST,2024-05-01,2024-05-01T07:00:00.000000,T-210,CAT789C,2320.0,43200,D,72.5
SST,2024-05-01,2024-05-01T19:00:00.000000,T-210,CAT789C,2293.0,43200,D,71.6562
SST,2024-05-03,2024-05-03T07:00:00.000000,T-210,CAT789C,2087.0,129600,D,65.2188
SST,2024-05-03,2024-05-03T19:00:00.000000,T-210,CAT789C,2258.0,43200,D,70.5625
SST,2024-05-04,2024-05-04T19:00:00.000000,T-210,CAT789C,2288.0,86400,D,71.5
P068,2024-05-05,2024-05-05T08:00:00.000000,T-210,CAT789C,2240.0,46800,D,70.0
P068,2024-05-06,2024-05-06T08:00:00.000000,T-210,CAT789C,1926.0,86400,D,60.1875
SST,2024-05-07,2024-05-07T08:00:00.000000,T-210,CAT789C,2097.0,86400,D,65.5312
SST,2024-05-08,2024-05-08T07:00:00.000000,T-210,CAT789C,2510.0,82800,D,78.4375
SST,2024-05-09,2024-05-09T19:00:00.000000,T-210,CAT789C,2540.0,129600,D,79.375
SST,2024-05-10,2024-05-10T19:00:00.000000,T-210,CAT789C,2170.0,86400,D,67.8125
SST,2024-05-11,2024-05-11T20:00:00.000000,T-210,CAT789C,2237.0,90000,N,69.9062
SST,2024-05-13,2024-05-13T19:00:00.000000,T-210,CAT789C,1942.0,169200,D,60.6875
P068,2024-05-14,2024-05-14T19:00:00.000000,T-210,CAT789C,2320.0,86400,D,72.5
SST,2024-05-15,2024-05-15T07:00:00.000000,T-210,CAT789C,2507.0,43200,D,78.3438
P068,2024-05-16,2024-05-16T19:00:00.000000,T-210,CAT789C,2362.0,129600,D,73.8125
P068,2024-05-17,2024-05-17T19:00:00.000000,T-210,CAT789C,1851.0,86400,D,57.8438
SST,2024-05-18,2024-05-18T07:00:00.000000,T-210,CAT789C,2742.0,43200,D,85.6875
SST,2024-05-18,2024-05-18T19:00:00.000000,T-210,CAT789C,2333.0,43200,D,72.9062
SST,2024-05-19,2024-05-19T19:00:00.000000,T-210,CAT789C,2171.0,86400,D,67.8438
SST,2024-05-21,2024-05-21T07:00:00.000000,T-210,CAT789C,2625.0,129600,D,82.0312
P068,2024-05-21,2024-05-21T19:00:00.000000,T-210,CAT789C,1933.0,43200,D,60.4062
SST,2024-05-23,2024-05-23T19:00:00.000000,T-210,CAT789C,2211.0,172800,D,69.0938
P068,2024-05-24,2024-05-24T07:00:00.000000,T-210,CAT789C,2406.0,43200,D,75.1875
SST,2024-05-25,2024-05-25T07:00:00.000000,T-210,CAT789C,1901.0,86400,D,59.4063
SST,2024-05-26,2024-05-26T08:00:00.000000,T-210,CAT789C,2035.0,90000,D,63.5938
SST,2024-05-26,2024-05-26T19:00:00.000000,T-210,CAT789C,2322.0,39600,D,72.5625
P068,2024-05-27,2024-05-27T08:00:00.000000,T-210,CAT789C,836.0,46800,D,26.125
P068,2024-05-28,2024-05-28T07:00:00.000000,T-210,CAT789C,2664.0,82800,D,83.25
P068,2024-05-29,2024-05-29T17:00:00.000000,T-210,CAT789C,2428.0,122400,D,75.875
SST,2024-05-30,2024-05-30T17:00:00.000000,T-210,CAT789C,2285.0,86400,D,71.4062
SST,2024-07-20,2024-07-20T06:00:00.000000,T-210,CAT789C,2810.0,4366800,N,87.8125
SST,2024-07-21,2024-07-21T08:00:00.000000,T-210,CAT789C,2543.0,93600,D,79.4688
P068,2024-07-22,2024-07-22T08:00:00.000000,T-210,CAT789C,2476.0,86400,D,77.375
P068,2024-07-23,2024-07-23T07:00:00.000000,T-210,CAT789C,2565.0,82800,D,80.1562
SST,2024-07-24,2024-07-24T07:00:00.000000,T-210,CAT789C,2405.0,86400,D,75.1562
SST,2024-07-25,2024-07-25T08:00:00.000000,T-210,CAT789C,2136.0,90000,D,66.75
SST,2024-07-26,2024-07-26T07:00:00.000000,T-210,CAT789C,2310.0,82800,D,72.1875
P068,2024-07-27,2024-07-27T08:00:00.000000,T-210,CAT789C,2330.0,90000,D,72.8125
P068,2024-07-28,2024-07-28T19:00:00.000000,T-210,CAT789C,2410.0,126000,D,75.3125
SST,2024-07-29,2024-07-29T19:00:00.000000,T-210,CAT789C,2047.0,86400,D,63.9688
SST,2024-07-30,2024-07-30T07:00:00.000000,T-210,CAT789C,2027.0,43200,D,63.3438
SST,2024-07-30,2024-07-30T19:00:00.000000,T-210,CAT789C,2125.0,43200,D,66.4062
SST,2024-07-31,2024-07-31T19:00:00.000000,T-210,CAT789C,2182.0,86400,D,68.1875
P068,2024-08-03,2024-08-03T19:00:00.000000,T-210,CAT789C,2300.0,259200,D,71.875
P068,2024-08-05,2024-08-05T19:00:00.000000,T-210,CAT789C,2723.0,172800,D,85.0938
P068,2024-08-06,2024-08-06T19:00:00.000000,T-210,CAT789C,2473.0,86400,D,77.2812
P068,2024-08-08,2024-08-08T19:00:00.000000,T-210,CAT789C,2553.0,172800,D,79.7812
P068,2024-08-09,2024-08-09T19:00:00.000000,T-210,CAT789C,2562.0,86400,D,80.0625
SST,2024-08-10,2024-08-10T19:00:00.000000,T-210,CAT789C,2049.0,86400,D,64.0312
SST,2024-08-11,2024-08-11T19:00:00.000000,T-210,CAT789C,2451.0,86400,D,76.5938
SST,2024-08-12,2024-08-12T07:00:00.000000,T-210,CAT789C,2564.0,43200,D,80.125
P068,2024-08-13,2024-08-13T19:00:00.000000,T-210,CAT789C,2490.0,129600,D,77.8125
P068,2024-08-14,2024-08-14T19:00:00.000000,T-210,CAT789C,2635.0,86400,D,82.3438
SST,2024-08-15,2024-08-15T19:00:00.000000,T-210,CAT789C,2459.0,86400,D,76.8438
SST,2024-08-16,2024-08-16T19:00:00.000000,T-210,CAT789C,2605.0,86400,D,81.4062
P068,2024-08-17,2024-08-17T19:00:00.000000,T-210,CAT789C,2150.0,86400,D,67.1875
P068,2024-08-19,2024-08-19T07:00:00.000000,T-210,CAT789C,2270.0,129600,D,70.9375
SST,2024-08-19,2024-08-19T19:00:00.000000,T-210,CAT789C,2223.0,43200,D,69.4688
SST,2024-08-20,2024-08-20T19:00:00.000000,T-210,CAT789C,2341.0,86400,D,73.1562
P068,2024-08-21,2024-08-21T19:00:00.000000,T-210,CAT789C,2185.0,86400,D,68.2812
SST,2024-08-22,2024-08-22T19:00:00.000000,T-210,CAT789C,2413.0,86400,D,75.4062
SST,2024-08-23,2024-08-23T19:00:00.000000,T-210,CAT789C,2397.0,86400,D,74.9062
SST,2024-08-24,2024-08-24T19:00:00.000000,T-210,CAT789C,2044.0,86400,D,63.875
P068,2024-08-26,2024-08-26T19:00:00.000000,T-210,CAT789C,1200.0,172800,D,37.5
SST,2024-08-27,2024-08-27T19:00:00.000000,T-210,CAT789C,1923.0,86400,D,60.0938
SST,2024-08-28,2024-08-28T07:00:00.000000,T-210,CAT789C,2209.0,43200,D,69.0312
P068,2024-08-29,2024-08-29T19:00:00.000000,T-210,CAT789C,2484.0,129600,D,77.625
SST,2024-08-30,2024-08-30T07:00:00.000000,T-210,CAT789C,2038.0,43200,D,63.6875
SURTIDOR-TRUCKSHOP,2024-09-01,2024-09-01T03:38:47.180000,T-210,CAT789C,2267.0,160727,N,70.8438
SST,2024-09-01,2024-09-01T19:00:00.000000,T-210,CAT789C,1954.0,55272,D,61.0625
SURTIDOR-TRUCKSHOP,2024-09-02,2024-09-02T17:32:40.543000,T-210,CAT789C,2450.0,81160,D,76.5625
P068,2024-09-03,2024-09-03T08:00:00.000000,T-210,CAT789C,2422.0,52039,D,75.6875
SST,2024-09-04,2024-09-04T08:00:00.000000,T-210,CAT789C,2867.0,86400,D,89.5938
SURTIDOR-TRUCKSHOP,2024-09-05,2024-09-05T15:20:52.920000,T-210,CAT789C,2568.0,112852,D,80.25
SST,2024-09-06,2024-09-06T08:00:00.000000,T-210,CAT789C,1872.0,59947,D,58.5
P068,2024-09-07,2024-09-07T08:00:00.000000,T-210,CAT789C,2426.0,86400,D,75.8125
SST,2024-09-08,2024-09-08T08:00:00.000000,T-210,CAT789C,2265.0,86400,D,70.7812
SURTIDOR-TRUCKSHOP,2024-09-08,2024-09-08T15:05:56.993000,T-210,CAT789C,2637.0,25556,D,82.4062
SST,2024-09-09,2024-09-09T08:00:00.000000,T-210,CAT789C,2524.0,60843,D,78.875
SURTIDOR-TRUCKSHOP,2024-09-10,2024-09-10T08:41:46.240000,T-210,CAT789C,2461.0,88906,D,76.9062
SURTIDOR-TRUCKSHOP,2024-09-11,2024-09-11T03:35:04.780000,T-210,CAT789C,2572.0,67998,N,80.375
SST,2024-09-11,2024-09-11T20:00:00.000000,T-210,CAT789C,2013.0,59095,N,62.9062
SST,2024-09-12,2024-09-12T20:00:00.000000,T-210,CAT789C,2506.0,86400,N,78.3125
SST,2024-09-14,2024-09-14T08:00:00.000000,T-210,CAT789C,2806.0,129600,D,87.6875
SST,2024-09-15,2024-09-15T07:00:00.000000,T-210,CAT789C,2256.0,82800,D,70.5
P068,2024-09-16,2024-09-16T06:00:00.000000,T-210,CAT789C,2432.0,82800,N,76.0
P068,2024-09-17,2024-09-17T19:00:00.000000,T-210,CAT789C,2833.0,133200,D,88.5312
SST,2024-09-19,2024-09-19T07:00:00.000000,T-210,CAT789C,2136.0,129600,D,66.75
SST,2024-09-20,2024-09-20T07:00:00.000000,T-210,CAT789C,2580.0,86400,D,80.625
P068,2024-09-21,2024-09-21T19:00:00.000000,T-210,CAT789C,2263.0,129600,D,70.7188
SST,2024-09-22,2024-09-22T19:00:00.000000,T-210,CAT789C,2172.0,86400,D,67.875
SST,2024-09-23,2024-09-23T19:00:00.000000,T-210,CAT789C,2521.0,86400,D,78.7812
SST,2024-09-24,2024-09-24T19:00:00.000000,T-210,CAT789C,2030.0,86400,D,63.4375
SST,2024-09-27,2024-09-27T07:00:00.000000,T-210,CAT789C,1670.0,216000,D,52.1875
P068,2024-09-28,2024-09-28T19:00:00.000000,T-210,CAT789C,2454.0,129600,D,76.6875
SST,2024-09-29,2024-09-29T19:00:00.000000,T-210,CAT789C,2181.0,86400,D,68.1562
SST,2024-09-30,2024-09-30T19:00:00.000000,T-210,CAT789C,2341.0,86400,D,73.1562
SST,2024-10-02,2024-10-02T19:00:00.000000,T-210,CAT789C,1951.0,172800,D,60.9688
SST,2024-10-03,2024-10-03T18:00:00.000000,T-210,CAT789C,2544.0,82800,D,79.5
SST,2024-10-04,2024-10-04T18:00:00.000000,T-210,CAT789C,2382.0,86400,D,74.4375
SST,2024-10-05,2024-10-05T18:00:00.000000,T-210,CAT789C,2056.0,86400,D,64.25
SST,2024-10-09,2024-10-09T19:00:00.000000,T-210,CAT789C,2294.0,349200,D,71.6875
P068,2024-10-11,2024-10-11T07:00:00.000000,T-210,CAT789C,2688.0,129600,D,84.0
SST,2024-10-12,2024-10-12T07:00:00.000000,T-210,CAT789C,2506.0,86400,D,78.3125
SST,2024-10-12,2024-10-12T19:00:00.000000,T-210,CAT789C,2259.0,43200,D,70.5938
P068,2024-10-13,2024-10-13T19:00:00.000000,T-210,CAT789C,2264.0,86400,D,70.75
SST,2024-10-14,2024-10-14T19:00:00.000000,T-210,CAT789C,2484.0,86400,D,77.625
SST,2024-10-15,2024-10-15T08:00:00.000000,T-210,CAT789C,2232.0,46800,D,69.75
SST,2024-10-16,2024-10-16T08:00:00.000000,T-210,CAT789C,2521.0,86400,D,78.7812
SST,2024-10-17,2024-10-17T08:00:00.000000,T-210,CAT789C,2542.0,86400,D,79.4375
SURTIDOR-TRUCKSHOP,2024-10-18,2024-10-18T08:37:23.637000,T-210,CAT789C,2203.0,88643,D,68.8438
P068,2024-10-18,2024-10-18T20:00:00.000000,T-210,CAT789C,2485.0,40956,N,77.6562
SST,2024-10-19,2024-10-19T20:00:00.000000,T-210,CAT789C,2149.0,86400,N,67.1562
SST,2024-10-20,2024-10-20T20:00:00.000000,T-210,CAT789C,2335.0,86400,N,72.9688
SST,2024-10-22,2024-10-22T08:00:00.000000,T-210,CAT789C,1910.0,129600,D,59.6875
P068,2024-10-23,2024-10-23T20:00:00.000000,T-210,CAT789C,2324.0,129600,N,72.625
P068,2024-10-24,2024-10-24T20:00:00.000000,T-210,CAT789C,1951.0,86400,N,60.9688
P068,2024-10-26,2024-10-26T08:00:00.000000,T-210,CAT789C,2376.0,129600,D,74.25
P068,2024-10-27,2024-10-27T07:00:00.000000,T-210,CAT789C,2276.0,82800,D,71.125
P068,2024-10-28,2024-10-28T07:00:00.000000,T-210,CAT789C,2561.0,86400,D,80.0312
P068,2024-10-29,2024-10-29T07:00:00.000000,T-210,CAT789C,2277.0,86400,D,71.1562
P068,2024-10-30,2024-10-30T07:00:00.000000,T-210,CAT789C,1854.0,86400,D,57.9375
SST,2024-10-31,2024-10-31T07:00:00.000000,T-210,CAT789C,2290.0,86400,D,71.5625
SST,2024-11-01,2024-11-01T07:00:00.000000,T-210,CAT789C,2257.0,86400,D,70.5312
SST,2024-11-02,2024-11-02T07:00:00.000000,T-210,CAT789C,2278.0,86400,D,71.1875
SST,2024-11-03,2024-11-03T07:00:00.000000,T-210,CAT789C,2092.0,86400,D,65.375
P068,2024-11-03,2024-11-03T19:00:00.000000,T-210,CAT789C,1033.0,43200,D,32.2812
P068,2024-11-04,2024-11-04T19:00:00.000000,T-210,CAT789C,2290.0,86400,D,71.5625
P068,2024-11-05,2024-11-05T19:00:00.000000,T-210,CAT789C,2321.0,86400,D,72.5312
P068,2024-11-06,2024-11-06T07:00:00.000000,T-210,CAT789C,2000.0,43200,D,62.5
P068,2024-11-07,2024-11-07T07:00:00.000000,T-210,CAT789C,2302.0,86400,D,71.9375
SST,2024-11-07,2024-11-07T19:00:00.000000,T-210,CAT789C,2035.0,43200,D,63.5938
SST,2024-11-08,2024-11-08T19:00:00.000000,T-210,CAT789C,2028.0,86400,D,63.375
SST,2024-11-09,2024-11-09T19:00:00.000000,T-210,CAT789C,2451.0,86400,D,76.5938
SST,2024-11-10,2024-11-10T20:00:00.000000,T-210,CAT789C,2542.0,90000,N,79.4375
SST,2024-11-11,2024-11-11T20:00:00.000000,T-210,CAT789C,2739.0,86400,N,85.5938
P068,2024-11-12,2024-11-12T20:00:00.000000,T-210,CAT789C,2698.0,86400,N,84.3125
SST,2024-11-13,2024-11-13T20:00:00.000000,T-210,CAT789C,2558.0,86400,N,79.9375
SST,2024-11-14,2024-11-14T20:00:00.000000,T-210,CAT789C,2471.0,86400,N,77.2188
SST,2024-11-15,2024-11-15T20:00:00.000000,T-210,CAT789C,2111.0,86400,N,65.9688
SST,2024-11-16,2024-11-16T20:00:00.000000,T-210,CAT789C,1850.0,86400,N,57.8125
SST,2024-11-17,2024-11-17T07:00:00.000000,T-210,CAT789C,2264.0,39600,D,70.75
SST,2024-11-18,2024-11-18T07:00:00.000000,T-210,CAT789C,2570.0,86400,D,80.3125
SST,2024-11-19,2024-11-19T07:00:00.000000,T-210,CAT789C,2435.0,86400,D,76.0938
