fecha,Event_Type,refill_TimeStamp,DeltaFuel,valid_fuel,before_avg,supply_TimeStamp,Origin,FuelLevelLiters,dif entreFuelLevel,,,,
3/13/2024,Supply_Only,,,,,2024-03-13T06:00:00.000000,SST,2770,2770,,,,
3/14/2024,Both_Events,2024-03-14T13:57:30.000000,2267.8399999999997,3075.2,804.7999999999998,2024-03-14T06:00:00.000000,SST,2756,488.16,,,,
3/16/2024,Both_Events,2024-03-16T00:59:30.000000,2142.4,3106.88,963.1999999999998,2024-03-16T06:00:00.000000,SST,2305,162.6,,,,
3/17/2024,Both_Events,2024-03-17T10:45:30.000000,1947.52,2715.2,779.2640000000001,2024-03-17T10:43:24.917000,SURTIDOR-TRUCKSHOP,2299,351.48,,,,
3/18/2024,Both_Events,2024-03-18T10:57:00.000000,1704.64,2625.92,923.0080000000002,2024-03-18T10:55:01.780000,SURTIDOR-TRUCKSHOP,1892,187.36,,,,
3/19/2024,Supply_Only,,,,,2024-03-19T17:50:20.267000,SURTIDOR-TRUCKSHOP,2262,2262,,,,
3/20/2024,Both_Events,2024-03-20T15:53:30.000000,2130.88,3000.96,875.5199999999999,2024-03-20T08:00:00.000000,SST,2423,292.12,,,,
3/21/2024,Both_Events,2024-03-21T21:36:00.000000,1593.28,2506.56,920.608,2024-03-21T21:33:18.367000,SURTIDOR-TRUCKSHOP,1703,109.72,,,,
3/22/2024,Both_Events,2024-03-22T16:21:30.000000,1167.6799999999998,2008,846.592,2024-03-22T07:00:00.000000,SST,1000,-167.68,,,,
3/23/2024,Both_Events,2024-03-23T08:35:30.000000,2285.76,3008,730.4639999999999,2024-03-23T07:00:00.000000,SST,2683,397.24,,,,
3/24/2024,Both_Events,2024-03-24T08:30:00.000000,2371.2,2877.44,526.528,2024-03-24T08:00:00.000000,SST,2866,494.8,,,,
3/25/2024,Both_Events,2024-03-25T15:14:30.000000,2096,2818.24,725.1199999999999,2024-03-25T15:12:09.407000,SURTIDOR-TRUCKSHOP,2446,350,,,,
3/26/2024,Both_Events,2024-03-26T17:33:30.000000,2143.68,3032.64,881.1199999999999,2024-03-26T08:00:00.000000,SST,2420,276.32,,,,
3/27/2024,Both_Events,2024-03-27T19:53:30.000000,1938.2399999999998,2838.08,899.8399999999999,2024-03-27T19:00:00.000000,SST,2125,186.76,,,,
3/28/2024,Both_Events,2024-03-28T16:44:00.000000,2090.88,3015.04,924.704,2024-03-28T08:00:00.000000,SST,2358,267.12,,,,
3/29/2024,Both_Events,2024-03-29T22:25:00.000000,2014.08,2798.72,792.576,2024-03-29T19:00:00.000000,SST,2270,255.92,,,,
3/30/2024,Both_Events,2024-03-30T13:06:30.000000,2085.7599999999998,3061.12,978.0799999999999,2024-03-30T08:00:00.000000,SST,2287,201.24,,,,
3/31/2024,Both_Events,2024-03-31T11:06:30.000000,2226.2400000000002,2793.92,559.712,2024-03-31T08:00:00.000000,P068,2728,501.76,,,,
4/1/2024,Both_Events,2024-04-01T10:08:00.000000,2469.44,3004.48,544.896,2024-04-01T06:00:00.000000,SST,2886,416.56,,,,
4/2/2024,Both_Events,2024-04-02T09:49:00.000000,2134.72,3029.12,899.872,2024-04-02T06:00:00.000000,SST,2432,297.28,,,,
4/3/2024,Refill_Only,2024-04-03T19:17:00.000000,2297.28,2872.32,586.5600000000001,,,,-2297.28,,,,
4/4/2024,Supply_Only,,,,,2024-04-04T07:00:00.000000,SST,2581,2581,,,,
4/4/2024,Supply_Only,,,,,2024-04-04T19:00:00.000000,P068,2060,2060,,,,
4/5/2024,Refill_Only,2024-04-05T02:08:00.000000,1396.48,2412.16,1047.68,,,,-1396.48,,,,
4/5/2024,Refill_Only,2024-04-05T03:33:00.000000,1865.6,2808.64,955.4239999999998,,,,-1865.6,,,,
4/5/2024,Refill_Only,2024-04-05T23:35:00.000000,2083.52,3029.12,953.5360000000001,,,,-2083.52,,,,
4/6/2024,Supply_Only,,,,,2024-04-06T07:00:00.000000,SST,2386,2386,,,,
4/7/2024,Both_Events,2024-04-07T00:15:30.000000,2200.64,3008,814.3679999999998,2024-04-07T08:00:00.000000,SST,2510,309.36,,,,
4/8/2024,Both_Events,2024-04-08T16:56:30.000000,1102.4,3173.76,2064.032,2024-04-08T08:00:00.000000,P068,1348,245.6,,,,
4/10/2024,Both_Events,2024-04-10T01:53:30.000000,2206.08,3149.12,940.896,2024-04-10T07:00:00.000000,SST,2348,141.92,,,,
4/11/2024,Both_Events,2024-04-11T01:36:00.000000,1268.4799999999998,2975.68,1717.6640000000002,2024-04-11T07:00:00.000000,SST,1800,531.52,,,,
4/11/2024,Refill_Only,2024-04-11T13:57:30.000000,2003.2,2003.2,0,,,,-2003.2,,,,
4/11/2024,Refill_Only,2024-04-11T21:03:30.000000,1803.52,2808.64,1006.848,,,,-1803.52,,,,
4/12/2024,Both_Events,2024-04-12T20:24:30.000000,2006.0800000000002,2916.8,904.7359999999999,2024-04-12T07:00:00.000000,SST,1922,-84.08,,,,
4/13/2024,Both_Events,2024-04-13T20:44:00.000000,1804.7999999999997,2581.12,773.408,2024-04-13T07:00:00.000000,SST,2204,399.2,,,,
4/14/2024,Both_Events,2024-04-14T13:57:30.000000,2146.56,2970.88,825.856,2024-04-14T07:00:00.000000,SST,2066,-80.56,,,,
4/14/2024,Supply_Only,,,,,2024-04-14T08:00:00.000000,SST,2242,2242,,,,
4/15/2024,Both_Events,2024-04-15T13:51:30.000000,2154.5600000000004,2936.32,779.008,2024-04-15T09:00:00.000000,SST,2271,116.44,,,,
4/16/2024,Both_Events,2024-04-16T08:39:30.000000,1910.0800000000002,2936.32,1041.28,2024-04-16T08:00:00.000000,SST,1905,-5.08,,,,
4/16/2024,Supply_Only,,,,,2024-04-16T19:00:00.000000,SST,1976,1976,,,,
4/17/2024,Both_Events,2024-04-17T00:56:00.000000,1366.08,3011.52,1652.2240000000002,2024-04-17T19:00:00.000000,SST,2138,771.92,,,,
4/17/2024,Refill_Only,2024-04-17T20:54:00.000000,1924.4799999999998,3036.16,1110.208,,,,-1924.48,,,,
4/18/2024,Both_Events,2024-04-18T21:50:00.000000,1992,3061.12,1062.176,2024-04-18T19:00:00.000000,SST,2215,223,,,,
4/21/2024,Supply_Only,,,,,2024-04-21T19:00:00.000000,SST,2205,2205,,,,
4/22/2024,Both_Events,2024-04-22T01:47:00.000000,2098.24,3124.48,1027.9360000000001,2024-04-22T19:00:00.000000,P068,2599,500.76,,,,
4/22/2024,Refill_Only,2024-04-22T10:54:30.000000,2362.24,2362.24,0,,,,-2362.24,,,,
4/23/2024,Both_Events,2024-04-23T02:42:00.000000,2260.16,3008,751.2,2024-04-23T19:00:00.000000,P068,2050,-210.16,,,,
4/23/2024,Refill_Only,2024-04-23T22:26:00.000000,1831.6799999999998,3082.24,1238.4320000000002,,,,-1831.68,,,,
4/24/2024,Supply_Only,,,,,2024-04-24T19:00:00.000000,SST,2455,2455,,,,
4/25/2024,Both_Events,2024-04-25T01:46:30.000000,2171.5199999999995,3082.24,910.3999999999999,2024-04-25T19:00:00.000000,SST,2419,247.48,,,,
4/26/2024,Refill_Only,2024-04-26T00:57:00.000000,2195.52,3138.56,939.0079999999998,,,,-2195.52,,,,
4/27/2024,Both_Events,2024-04-27T21:22:00.000000,2209.28,3092.8,884.4480000000001,2024-04-27T19:00:00.000000,SST,2455,245.72,,,,
4/28/2024,Both_Events,2024-04-28T23:06:00.000000,1822.7200000000003,2635.84,825.76,2024-04-28T19:00:00.000000,SST,2124,301.28,,,,
4/29/2024,Both_Events,2024-04-29T21:59:00.000000,1935.68,2700.48,769.12,2024-04-29T19:00:00.000000,SST,2257,321.32,,,,
4/30/2024,Both_Events,2024-04-30T16:20:00.000000,2171.2,3011.52,858.816,2024-04-30T19:00:00.000000,SST,2463,291.8,,,,
5/1/2024,Both_Events,2024-05-01T10:43:00.000000,2077.76,3004.48,937.632,2024-05-01T07:00:00.000000,SST,2320,242.24,,,,
5/1/2024,Supply_Only,,,,,2024-05-01T19:00:00.000000,SST,2293,2293,,,,
5/2/2024,Refill_Only,2024-05-02T03:28:59.000000,2088.64,3050.56,961.8880000000001,,,,-2088.64,,,,
5/3/2024,Both_Events,2024-05-03T08:23:00.000000,2823.36,2823.36,931.5199999999999,2024-05-03T07:00:00.000000,SST,2087,-736.36,,,,
5/3/2024,Both_Events,2024-05-03T08:46:00.000000,2867.52,2867.52,1556.2666666666667,2024-05-03T19:00:00.000000,SST,2258,-609.52,,,,
5/4/2024,Both_Events,2024-05-04T05:15:00.000000,2046.7199999999998,3022.08,975.936,2024-05-04T19:00:00.000000,SST,2288,241.28,,,,
5/4/2024,Refill_Only,2024-05-04T22:20:00.000000,2038.08,2997.44,958.72,,,,-2038.08,,,,
5/5/2024,Both_Events,2024-05-05T15:31:30.000000,1945.6,3078.72,1135.232,2024-05-05T08:00:00.000000,P068,2240,294.4,,,,
5/6/2024,Both_Events,2024-05-06T10:08:00.000000,1729.6,2921.6,1186.0799999999997,2024-05-06T08:00:00.000000,P068,1926,196.4,,,,
5/7/2024,Both_Events,2024-05-07T16:03:30.000000,1955.8400000000001,2960.96,1010.5920000000002,2024-05-07T08:00:00.000000,SST,2097,141.16,,,,
5/8/2024,Both_Events,2024-05-08T17:10:30.000000,2121.92,2778.88,661.3439999999999,2024-05-08T07:00:00.000000,SST,2510,388.08,,,,
5/9/2024,Both_Events,2024-05-09T20:16:30.000000,582.0800000000002,2367.36,782.688,2024-05-09T19:00:00.000000,SST,2540,1957.92,,,,
5/10/2024,Both_Events,2024-05-10T20:33:00.000000,980.8,2076.48,1120.3200000000002,2024-05-10T19:00:00.000000,SST,2170,1189.2,,,,
5/11/2024,Both_Events,2024-05-11T06:30:00.000000,2640.96,2640.96,0,2024-05-11T20:00:00.000000,SST,2237,-403.96,,,,
5/11/2024,Refill_Only,2024-05-11T20:32:30.000000,554.2400000000002,2896.96,1019.392,,,,-554.24,,,,
5/13/2024,Both_Events,2024-05-13T08:43:30.000000,2980.8,2980.8,0,2024-05-13T19:00:00.000000,SST,1942,-1038.8,,,,
5/14/2024,Both_Events,2024-05-14T01:53:00.000000,1523.8400000000001,2896.96,1379.5839999999996,2024-05-14T19:00:00.000000,P068,2320,796.16,,,,
5/14/2024,Refill_Only,2024-05-14T20:45:30.000000,2041.6,3078.72,1039.7759999999998,,,,-2041.6,,,,
5/15/2024,Both_Events,2024-05-15T17:18:30.000000,2174.7200000000003,3004.48,836.96,2024-05-15T07:00:00.000000,SST,2507,332.28,,,,
5/16/2024,Supply_Only,,,,,2024-05-16T19:00:00.000000,P068,2362,2362,,,,
5/17/2024,Both_Events,2024-05-17T03:04:30.000000,2102.7200000000003,2887.36,794.048,2024-05-17T19:00:00.000000,P068,1851,-251.72,,,,
5/17/2024,Refill_Only,2024-05-17T20:22:30.000000,1726.4,2656,934.624,,,,-1726.4,,,,
5/18/2024,Both_Events,2024-05-18T13:50:00.000000,2431.36,3128,695.5840000000001,2024-05-18T07:00:00.000000,SST,2742,310.64,,,,
5/18/2024,Supply_Only,,,,,2024-05-18T19:00:00.000000,SST,2333,2333,,,,
5/19/2024,Both_Events,2024-05-19T05:39:30.000000,2068.16,3032.64,963.5200000000001,2024-05-19T19:00:00.000000,SST,2171,102.84,,,,
5/20/2024,Refill_Only,2024-05-20T03:30:00.000000,1945.6,3068.16,1136.4479999999999,,,,-1945.6,,,,
5/20/2024,Refill_Only,2024-05-20T15:47:00.000000,2531.52,2531.52,0,,,,-2531.52,,,,
5/21/2024,Both_Events,2024-05-21T09:35:00.000000,2211.84,2970.88,760.2239999999999,2024-05-21T07:00:00.000000,SST,2625,413.16,,,,
5/21/2024,Supply_Only,,,,,2024-05-21T19:00:00.000000,P068,1933,1933,,,,
5/22/2024,Refill_Only,2024-05-22T03:59:00.000000,1686.0800000000002,3096.32,1414.0480000000002,,,,-1686.08,,,,
5/23/2024,Both_Events,2024-05-23T20:58:30.000000,1964.16,2823.36,866.3680000000002,2024-05-23T19:00:00.000000,SST,2211,246.84,,,,
5/24/2024,Both_Events,2024-05-24T15:44:00.000000,2088.64,3039.68,948.7040000000001,2024-05-24T07:00:00.000000,P068,2406,317.36,,,,
5/25/2024,Both_Events,2024-05-25T12:54:00.000000,1889.9199999999998,2921.6,1030.592,2024-05-25T07:00:00.000000,SST,1901,11.08,,,,
5/26/2024,Both_Events,2024-05-26T08:34:00.000000,1876.1599999999999,2838.08,968.9279999999999,2024-05-26T08:00:00.000000,SST,2035,158.84,,,,
5/26/2024,Supply_Only,,,,,2024-05-26T19:00:00.000000,SST,2322,2322,,,,
5/27/2024,Both_Events,2024-05-27T04:51:30.000000,2056.3199999999997,2956.16,905.7279999999998,2024-05-27T08:00:00.000000,P068,836,-1220.32,,,,
5/28/2024,Both_Events,2024-05-28T09:29:00.000000,2033.92,2778.88,752.9280000000001,2024-05-28T07:00:00.000000,P068,2664,630.08,,,,
5/29/2024,Supply_Only,,,,,2024-05-29T17:00:00.000000,P068,2428,2428,,,,
5/30/2024,Both_Events,2024-05-30T01:00:00.000000,2226.24,3166.72,939.3279999999999,2024-05-30T17:00:00.000000,SST,2285,58.76,,,,
5/31/2024,Refill_Only,2024-05-31T03:22:00.000000,1976.96,2744.64,781.568,,,,-1976.96,,,,
7/20/2024,Both_Events,2024-07-20T11:08:30.000000,2345.92,3011.52,669.6000000000001,2024-07-20T06:00:00.000000,SST,2810,464.08,,,,
7/21/2024,Both_Events,2024-07-21T12:51:30.000000,2234.8799999999997,3075.2,846.0799999999999,2024-07-21T08:00:00.000000,SST,2543,308.12,,,,
7/22/2024,Both_Events,2024-07-22T09:08:00.000000,2124.16,3018.56,893.632,2024-07-22T08:00:00.000000,P068,2476,351.84,,,,
7/23/2024,Both_Events,2024-07-23T15:40:30.000000,2205.4399999999996,3064.64,857.408,2024-07-23T07:00:00.000000,P068,2565,359.56,,,,
7/24/2024,Both_Events,2024-07-24T15:40:30.000000,2071.68,2848,776.192,2024-07-24T07:00:00.000000,SST,2405,333.32,,,,
7/25/2024,Both_Events,2024-07-25T15:23:30.000000,2114.8799999999997,3082.24,965.152,2024-07-25T08:00:00.000000,SST,2136,21.12,,,,
7/26/2024,Both_Events,2024-07-26T15:50:00.000000,1965.4399999999998,2611.2,642.432,2024-07-26T07:00:00.000000,SST,2310,344.56,,,,
7/27/2024,Both_Events,2024-07-27T16:57:30.000000,2085.7599999999998,2985.6,899.296,2024-07-27T08:00:00.000000,P068,2330,244.24,,,,
7/28/2024,Both_Events,2024-07-28T20:18:00.000000,2132.16,3018.56,897.1519999999998,2024-07-28T19:00:00.000000,P068,2410,277.84,,,,
7/29/2024,Supply_Only,,,,,2024-07-29T19:00:00.000000,SST,2047,2047,,,,
7/30/2024,Both_Events,2024-07-30T01:57:30.000000,1438.7199999999998,2818.24,1376.928,2024-07-30T07:00:00.000000,SST,2027,588.28,,,,
7/30/2024,Both_Events,2024-07-30T13:51:00.000000,1997.44,3050.56,1056.2879999999998,2024-07-30T19:00:00.000000,SST,2125,127.56,,,,
7/31/2024,Both_Events,2024-07-31T00:49:30.000000,1696.32,3131.52,1444.9920000000002,2024-07-31T19:00:00.000000,SST,2182,485.68,,,,
7/31/2024,Refill_Only,2024-07-31T20:44:30.000000,1931.8399999999997,2818.24,877.6959999999999,,,,-1931.84,,,,
8/3/2024,Both_Events,2024-08-03T21:47:30.000000,2145.9199999999996,2882.24,739.2319999999999,2024-08-03T19:00:00.000000,P068,2300,154.08,,,,
8/5/2024,Both_Events,2024-08-05T20:07:00.000000,2204.16,3025.6,830.144,2024-08-05T19:00:00.000000,P068,2723,518.84,,,,
8/6/2024,Both_Events,2024-08-06T21:26:00.000000,2141.44,3011.52,874.144,2024-08-06T19:00:00.000000,P068,2473,331.56,,,,
8/8/2024,Both_Events,2024-08-08T20:19:00.000000,2211.2,3032.64,829.024,2024-08-08T19:00:00.000000,P068,2553,341.8,,,,
8/9/2024,Supply_Only,,,,,2024-08-09T19:00:00.000000,P068,2562,2562,,,,
8/10/2024,Both_Events,2024-08-10T02:02:00.000000,2207.3599999999997,3050.56,847.9680000000001,2024-08-10T19:00:00.000000,SST,2049,-158.36,,,,
8/11/2024,Both_Events,2024-08-11T04:01:00.000000,1841.2800000000002,2724.8,884.4159999999999,2024-08-11T19:00:00.000000,SST,2451,609.72,,,,
8/11/2024,Refill_Only,2024-08-11T22:11:30.000000,1971.8400000000001,2759.36,800.832,,,,-1971.84,,,,
8/12/2024,Both_Events,2024-08-12T17:03:00.000000,2171.52,2956.16,796.032,2024-08-12T07:00:00.000000,SST,2564,392.48,,,,
8/13/2024,Both_Events,2024-08-13T20:55:30.000000,2164.8,3008,859.1360000000001,2024-08-13T19:00:00.000000,P068,2490,325.2,,,,
8/14/2024,Both_Events,2024-08-14T21:06:00.000000,1946.88,2833.28,888.7359999999999,2024-08-14T19:00:00.000000,P068,2635,688.12,,,,
8/15/2024,Supply_Only,,,,,2024-08-15T19:00:00.000000,SST,2459,2459,,,,
8/16/2024,Both_Events,2024-08-16T05:35:00.000000,2156.16,3039.68,901.4399999999999,2024-08-16T19:00:00.000000,SST,2605,448.84,,,,
8/17/2024,Both_Events,2024-08-17T05:11:30.000000,823.3600000000001,2357.44,767.4240000000001,2024-08-17T19:00:00.000000,P068,2150,1326.64,,,,
8/17/2024,Refill_Only,2024-08-17T23:01:30.000000,1956.8000000000002,2993.92,1047.2,,,,-1956.8,,,,
8/18/2024,Refill_Only,2024-08-18T14:01:00.000000,1234.2399999999998,3029.12,1779.0720000000006,,,,-1234.24,,,,
8/19/2024,Both_Events,2024-08-19T09:38:00.000000,2018.88,2980.8,955.4559999999999,2024-08-19T07:00:00.000000,P068,2270,251.12,,,,
8/19/2024,Supply_Only,,,,,2024-08-19T19:00:00.000000,SST,2223,2223,,,,
8/20/2024,Both_Events,2024-08-20T02:48:00.000000,1965.12,3082.24,1139.0399999999997,2024-08-20T19:00:00.000000,SST,2341,375.88,,,,
8/21/2024,Both_Events,2024-08-21T01:16:30.000000,2129.92,3089.28,960.32,2024-08-21T19:00:00.000000,P068,2185,55.08,,,,
8/21/2024,Refill_Only,2024-08-21T21:16:30.000000,2018.56,3039.68,1036.5439999999999,,,,-2018.56,,,,
8/22/2024,Both_Events,2024-08-22T20:21:30.000000,2148.16,3029.12,879.8400000000001,2024-08-22T19:00:00.000000,SST,2413,264.84,,,,
8/23/2024,Both_Events,2024-08-23T22:58:30.000000,2144.3199999999997,3057.6,916.5120000000001,2024-08-23T19:00:00.000000,SST,2397,252.68,,,,
8/24/2024,Supply_Only,,,,,2024-08-24T19:00:00.000000,SST,2044,2044,,,,
8/25/2024,Refill_Only,2024-08-25T04:49:30.000000,1837.12,3029.12,1196.704,,,,-1837.12,,,,
8/26/2024,Both_Events,2024-08-26T01:56:00.000000,1488.96,3004.48,1530.976,2024-08-26T19:00:00.000000,P068,1200,-288.96,,,,
8/27/2024,Both_Events,2024-08-27T02:44:00.000000,1983.04,3057.6,1069.632,2024-08-27T19:00:00.000000,SST,1923,-60.04,,,,
8/28/2024,Both_Events,2024-08-28T01:50:00.000000,1101.1200000000001,2022.4,928.128,2024-08-28T07:00:00.000000,SST,2209,1107.88,,,,
8/28/2024,Refill_Only,2024-08-28T10:43:00.000000,2018.56,3071.68,1031.9360000000001,,,,-2018.56,,,,
8/29/2024,Both_Events,2024-08-29T21:57:30.000000,2150.7200000000003,2993.92,843.6800000000001,2024-08-29T19:00:00.000000,P068,2484,333.28,,,,
8/30/2024,Both_Events,2024-08-30T16:13:30.000000,1818.88,3096.32,1281.0880000000002,2024-08-30T07:00:00.000000,SST,2038,219.12,,,,
9/1/2024,Both_Events,2024-09-01T03:41:00.000000,2040.32,3050.56,1016.4799999999999,2024-09-01T03:38:47.180000,SURTIDOR-TRUCKSHOP,2267,226.68,,,,
9/1/2024,Both_Events,2024-09-01T21:12:30.000000,1673.6,3071.68,1400.48,2024-09-01T19:00:00.000000,SST,1954,280.4,,,,
